vic_detail,journ_entry,stage,notes
Final Group Text to her friends,"""Love you all, sorry guys.""",0,
Letter meant for Grace,"""I just
want to say that it has been an honest comfort to have someo ne that
understands,"" ""Thank you so,
so much for being there and saving my sanity. I just ... you make me
feel like I'm not alone, and that's a huge deal.""",0,
Letter meant for Grace,"""If you ever feelsad or lonely/' Vic wrote in a letter to Grace, ""please remember that you are a living,breathing, intri cate, strong, indep endent [person] with the ability to love andto laugh and to cry. You have empathy, intelligence and kindnes s, and Grace, you'repretty danm awesome and if other people can't see it, they are deluded. And I shouldconfirm that you are a whole lot pr ettier than you think you are . . . . I would sometimesthink of the old, slightly cliched (but nonetheless true) phrase 'this too shallpass: Because no matter what happens , the bad things will pass. It's comforting toremind yourself that whatever future stress you'll endure, it'll be temporary-clearskies and Mary Poppins and all that are on the horizon! And even thou gh good thingspass too, don't be upset becau se it's over, smile because it happened ... so Hakunamatata and carpe diem!""",0,
no timestamp,"""I don 't want other kids to feel like freaks or teachers to
always assume that the kid at the back of class who never raises their
hand is just 'shy' . .. when they are really paralyzed with [a] fear and
hopelessness that they believe no one could ever understand.""",0,
poem,"She laid her head on the pillow beside me,
Flyaway curls spread across the downy lint,
Her eyes closed, her spine convex,
Slim hands reachingf or someone
In the empty space, though my warmth
Emanated, and my eyes breathed in
Every perfect lash, line and mark on
Her canvas that she did not paint and which
She could not see, and every little piece of
Beauty she thought she could never be.
And though I was close enough to touch,
I knew those hands
Would never reach me.",0,
Suicide note found in her pocket,"""If I'm brain damaged,""
it read, ""I don't want to be kept alive. I don 't want to be a
vegetable: '",0,
poem,"I snuck a lighter from the kitchen
When I was fifteeni not to smoke: to smell.
I lit incense stick after incense stick,
And inhaled sandalwood smoldering,
As the drunkards climbed the stairs,
Swallowing tar and solute methane,
But really, what is the difference?
We escape our minds with our senses:
Chemical compounds to rid
Us of our demons.
They laughed the night away,
And I heard their chortles echo
As they strolled the empty streets
To rid themselves of the pain
Of guilt and all the trials
Life so unpityingly hands us,
And to endorse the transience
Of which we make
By a swig, a drag, or a cut,
A smell, a kiss, or
A word.",0,
poem,"Winter Mind - It's a shadow that sweeps over you.
Grey skies. Charcoal streets coated with grime
And glistening wetness under rusted lampposts.
Rain-splattered glass,the drops slidingd own car windows like tears.
The eternal, slow, steady rain falling, on cold days through fog.
Tangled, windswept hair. Stale black coffee.
Dust building on the spines of unopened books.
The color draining from floral-patterned sheets and curios
In bedrooms like tea-dregs giving way to crumpled black clothes
And silence.
Splinters of dark aluminum sunrays refracting
Through the gaps in drawn curtains.
Time passing in a colorless blur between day and night.
The weeks stretching into an endless winter,:
Kept inside to rot like a dying plant. Eyes opening only to wish,
To cling on to the only thing you know; that death will come to you.
Sad songs become a daily commodity.
Not even talking can expunge this melancholy,
There will soon be nothing left to extract.
Silence.
The time has passed for brutal honesty,
For there is no energy left to bellow out the troubles of your world.
You want to be alone, but you crave company.
But in your heart you know that no one wants to be dragged
Into your toxic,m orose-riddend omain.
It's an emptiness that food cannot fill.
A detachment that paralyzes your neurotransmitters.
Cold numbness.
Wait for the high, it'll come some time.
For now, there is nothing but your thoughts,
And silence.",0,
poem,"Cavity -  She is empty.
She is the untenanted space Between the train and the tracks,
The filter between the mind and the face,
She is the void between the glass and the frame,
A speck of dust on stained quartz crystal,
 And the moon's veil between wax and wane.",0,
poem,"She prayed and prayed,
The covers wrapped around her,
Listening to the clock tick away her time,
Until the day she left the bed,
And left herself behind.",0,
poem,"I will be - You lookup.
Stars
 little lights 
Little places where you
 Cannot live with your 
Lungs and your skin But 
with your heart.
My little world will meet
 Yours and yours mine. 
My organs, though left 
Behind in the earth to become
The trees, or to live and
 Be wanted in another's body,
I will be there as
 Another dot to join the dots,
So that when you look up,
I will be there, and you know 
I will be free.",0,Vic hopes for this to be inscribe on her tombstone
Stage 1: Falling short of expectations,"""I have so many opportunities,""  ""If some people were
me, they'd be so happy. They'd have their own room. They'd have a
great school. They'd live everyday like it was heaven. Hence why am
I being completely self-indulgent? I shouldn't be so wrapped up in
my own stupid, worthless problems, when some people would give
anything to live my life. I have my whole life ahead of me. So why
can't I just live it?""",1,
Stage 1: Falling short of expectations,"""I've known that I will never have a
dazzling life, what with the grades I get ""But if I keep carrying on like this,
 I might actually end up
.
snapping.",1,Her first Diary entry
Stage 1: Falling short of expectations,"I think ( and I know it sounds melodramatic ) that I might not make
it this year. I know that when I see those grades bold and black on a
piece of paper - I will either jump for joy, or jump off the top floor of
this condo. I know it is absolutely ridiculous to kill yourself because
you failed high school . . . but I don 't know what to do.",1,
Stage 1: Falling short of expectations,"""If I fail these exams, I know that my
 will be ruined and I can kiss University goodbye.
I can kiss my life goodbye. All I want is to be a good psychologist.
I can't do that without a proper degree and a Masters: '",1,
Stage 1: Falling short of expectations,"""I'm not that much of an idiot. There are wor se things than failing
school. But when there is nothing else worse than that in your life,
it's the most terrible thing you can let yourself do:'",1,
Stage 1: Falling short of expectations,"Oh the irony. He was a middle-aged guy in a lurid orange shirt and
had a kitschy attitude. He told ushowwhen we're sad, we're supposed
to put a patch on it and move on. I wanted to build a case for myself
to contradict a lot of things he said. He was simplistic. We all have
our own ways to cope with things. We are not all factory-processed
clones (although many adults would argue that ). Our genetics are
different, which would play a part in the fact that we all respond to
adverse life events differently. Some of us have an increased risk of
depression, which would thus affect our responses. I'm just saying
he was very one-dimensional.",1,
Stage 1: Falling short of expectations,"""I never really understood
the value of honesty until recently,"" ""It
can both heal and destroy you.""",1,
Stage 1: Falling short of expectations,"""We dissolve into a sea of faceless, name less humanity. Just
another grownup with no one else to take care of you. When you're
a kid, people genuinely care. You're young . People can't help but feel
the need to help you achieve the things they couldn't. When you get
older, peop le stop caring.""",1,
Stage 2: Attributions to self,"""You know, one of those chicks that look like they have it all.""
Blonde. Lithe. Top grades. Popular. The whole jealously wrapped-up
package. I mean she was exercising1 for heaven's sake. Walking down
Claymore Avenue with $200 Nikes and a cloned training buddy, no
doubt to the gym .... It's kind of lbeyond me how anyone can have
their life so sorted. Maybe I should start comparing [ the se girls]
allegorically to filing cabinets. Each file section is a subdivision
 
of life. Academics. Family ties. Extra -curricular activities. Social
stature. Looks. Boyfriends/ girlfriends. Socioeconomic state. Mental
health . Physical form .. .. Not only is every section perfectly organized,
but also each page has the right border, font, page number s
and grammar with A-plusses on each sheet of crisp white paper
inside every pastel folder. And if one of tho se papers gets dented for
even a second, there 's some kind of top -of-the-line printer hidden
in there that reprint s it, crumples the old one, and throws it away ....
Sometimes my folders manage to get printed. But then the printer
breaks down. And the old copies pile up and up. Until there will
eventually come a point when the cabinet won't be able to fit it all
in. This is known as ""cracking:' I gave up on trying to be [ that type
of girl] long ago.",2,
Stage 2: Attributions to self,"""I am the definition of a hypocrite . An angst-ridden, over-sensitive
delinquent . . . I'm a stupid fucking drama queen .""
""It's not other people. It's just me:'",2,
Stage 2: Attributions to self,"""I'd better give myself instructions, ""
she writes with bitter sarcasm . ""You have to get up, Vic. Now you have
to get dressed. Wears something discreet Now you have to fold the clothes
from the dryer. Maybe I'd better take it slow. Pathetic. Just pathetic:'",2,
Stage 2: Attributions to self,"""I woke up early with my heart pounding,""
... it was seven in the morning and somehow the cortisol or adrenaline
or whatever chemical it is forced me out of bed. I was thinking
about all the untouched homework. Kind of shocked me how much
I hadn't done and how much I was supposed to do. I tried going back
to sleep but I just couldn't stay still. I kept thrashing around like I was
having a nightmare. It was that stage between a panic attack and that
nauseous fear clawing at your stomach . ... Dammit I wish I would
stop feeling sick. Jeez, why do I always do this? I'm an idiot! I had
the whole fucking holidays! I have so much work to do, it's insane.
And the year has barely begun.",2,
Stage 2: Attributions to self,"Im not
worth her time. I'm not worth anyone's time. I'm toxic to her . She
doesn't need to be held back by me. She's got her whole life ahead
of her. She's so much smarter and kinder and funnier than she
think s . . . . She'll be okay. They'll all be:'",2,
Stage 2: Attributions to self,"""I don 't deserve to be alive. I don't want to face
the trials of reality, which is obviously cowardice. I have let this cowardice
envelop me, and I can't shake it off.""",2,
Stage 2: Attributions to self,"... I don't want to fight. I don't want to live. I have had noth ing bad
happen to me except my own doing. I don't deserve happiness. I
don't deserve to complain. Take it from me and give it to someo ne
who needs it. Let another complain because they deserve to. Please
just get rid of me.",2,
Stage 3: High Self-Awareness,"It's kind of surpr ising how superficial everything is. You talk about
TV shows and music and grades and all the same stuff, it makes you
think people are disconnected from their own darkness . Or perhaps
they just don't allow th emselves to become sad. They put a patch on
 whatever wounds life throws at them, bury their feelings, walk it off,
forget about it and move on.",3,"Bering writes about stage 3: To say that Vic expresses inten se self-aware ness would be a gross un derstatement.
She's not merely ""self-abso rb ed;' as a narcissist would
be . Neither is she simply ""self-centered, "" as she descr ibes herself.
Instead, as part of the suicidal process, she finds herself locked into a
rigidly myopic gaze, one in which she cannot peel her inner eye away
from the sour ce of her anxieties."
Stage 3: High Self-Awareness,"""I'm still marveling at the fact you can
thrive in a world of inner happiness ;' she observes. ''And then let
peripheral reminders crash through and rewire your brain to make
it think that pursuing contentment is useless.""",3,
Stage 3: High Self-Awareness,"""I hate the subject
because I don 't know anyone in it:'
And there's always the terrifying possibility that we could have to do
a practical, where I get to show my un-sportiness and unpopularity,
because the class is small and the only people who are in it are popular
high-achievers. If l got 90s in my other subjects, I'd drop Health
like a shot. But I'm surprisingly okay at it and it's an interesting subject.
But the mere fact that the class is composed entirely of people
who go running every day for the hell of it and fit in our cohort so
well makes me paranoid that they think I'm the worst in the class and
an avoidant personality freak.""",3,about pe classes 
Stage 3: High Self-Awareness,"""Seriously, I never imagined
I would say any of those things to anyone. Let alone someone who
got it . . .. Thank Christ for honesty. She gets it all. Thank. Freaking.
Christ. . .. We talked for ages about stuff we hadn't said before . I
would never ever in a million years have considered that she got it
about suicide and the whole self-harm thing :'",3,
Stage 3: High Self-Awareness,"... I spoke of things I would never speak to my parents. Now a
once-stranger with not a drop of my blood in her veins knows me
better than one whose eyes are almost the same as mine and whose
combinations of DNA formed my very existence. I almost laugh at
this absurdity. How can one who has no relation under stand me as
if a part of their very being is shared with me? Life is an inexplicable
thing, for those who proph esize too much.",3,
Stage 3: High Self-Awareness,"""I want to
go on a train :'
There's something numbing about going on a train. I don't quite
know what it is. It gives the illusion of taking you far away, taking
you away from everything. It's not like a library, where you have
to look like you're doing something, and it's so quiet, you can hear
other people breathing. On trains, the whirring of the tracks, the
constant sounds as it reverberates down a dark tunnel with no end.
It just keeps going and going and you never have to worry about it
ending. It just keeps going. You don't have to do a single thing on a
train except travel. When I fail school, I might just spend hour s on
trains. It's not a very normal thing to do. I don't know anyone who
would substitute train travelling for like booze
or cigarettes. But I just want to do that.",3,
Stage 3: High Self-Awareness,"""I listen to sad descants and instrumentals."" ""I read Anne
Sexton, a poet whose words uncover beautiful and terrible reality.""
""Right now I'd be happy if some one flicked a switch that would make me sleep for a long time ."" 
""I think calms me down when my thoughts get out of control.
 But on the other hand, it can also fuel them. Words, I mean.""",3,
Stage 4: Negative Affect,"""Well, Miranda knows I self-harm ed. I'd never have considered
she'd work that out. Thank God she hasn't told ""I explained that it was like thos e thought s of
hopele ssness had gotten out of control and I wanted escape. She
thought I meant by the blade. I was talking about death. Though I
tried the blade. I didn 't cut deep enough:'",4,
Stage 4: Negative Affect,"""Today was bad/' ""Sat in the shower. Did the whole crying bit .
Sat in bed. Did the whole sad songs and crying bit. I thought about
death too many times today. Wanted to be by myself again at lun ch.
Stuff to tell Miranda: wanted to be by myself today, incessant suicidal
ideation, just fix me. Please fix me or I can't be here. PLEASE MAKE
THIS SAD STOP. FUCKING MAKE IT STOP. God, something
out there, please make it stop. Just make it stop",4,
Stage 4: Negative Affect,"""sedating melancholy""
""It's a
funny thing about emotions. When you are happy, you know that
 it will dissipate, but in that moment it feels like it could last forever.
When you are sad, it is long. A protracted and dull lethargy that is
 dense, and you forget that it won't last forever. Darkness lures you 
in. You almost welcome it after telling yourself not to.""",4,
Stage 4: Negative Affect,"""I know realistically that this anxiety
thing is not going to go away. I will live my life completely alone .""",4,
Stage 4: Negative Affect,"""Everyone will
drift apart. I will be alone in a small town where I don't fit in. I'm not
a New Zealan der. I don't care that it's on my freaking passport, I am
just not one. I don't know how to adapt. I would miss Singapore too much. 
But at the same time, I can't stay here. I don't think I'd ever
really find anywhere.""",4,
Stage 4: Negative Affect,"""I got distracted by fleeting moments of egocentric
happiness a few days ago. I momentarily forgot that happiness is just
a distraction from the reality of life.""",4,
Stage 4: Negative Affect,"""If I don't do something it 's all going to spiral out of control)""",4,
Stage 5: Cognitive Deconstruction,"""It's what you might call a non- cataclysmically but-
still-destructive coping mechanism /' 'Im neither hungry nor full. I'm neither
bored nor active.""",5,
Stage 5: Cognitive Deconstruction,"""God knows I should be running
around using up adenosine triphosphate stores and diligently studying
like an actively functioning young adult. But here I am, sitting
here . Wasting precious time.""",5,
Stage 5: Cognitive Deconstruction,"Im tired of this. They're putting too much pressure on us. I'm
tired. I told myself to get up and do my homework like a good girl.
But I'm just sitting here, way too tired than I should be.""",5,
Stage 5: Cognitive Deconstruction,"""Right now the future seems like a
dark, obscure place that I can't see myself in. There's nothing ahead.
Nothing:'",5,
Stage 5: Cognitive Deconstruction,"""Like now I'm thinking 'why bother?' Why even bother if I'm setting
myself up for failure:' This kind of thinking is more unhelpful than usual,
because this is the
point where a lot of people stop trying. And the whole thing kind of
intensifies into this huge downward spiral, where shit actually happens
and peop le begin to screw th eir lives up. I had all these plans.
Now I don't care. I suddenly don't care about my future. I don't care
if I disappoint my parents as long as they don't have to face me. I
don't care if l do nothing and just sit in a room wasting my life away
while everyone else moves on. I don't fucking care if I can't afford
anything. Sure, I'll be filled with regret for the rest of my life, but I'll
be alone. I could just run away from everything.",5,
Stage 5: Cognitive Deconstruction,"""For
the past three days . .. I did not think thoughts that I now want.
Such as doing sedating things that do not make sense, like catching
a train and traveling without a destination. Just traveling . Seeing
the people as nothing more than chromatic hardcovers with untold
stories. Replications of dyed hair and dark eyes wanting and waiting
for approval.""",5,
Stage 5: Cognitive Deconstruction,"Tm sleeping late
tonight. I'm letting the triggers engulf me and overpower the 
vacation, with the gritty truths of the disillusionment that is
life .""",5,
Stage 5: Cognitive Deconstruction,"""If I'm getting
 my 'affairs' in order, I might as well sort some things out. Here are
 my things to sort out "":
... my heart, lungs and kidneys will go to someone who deserves
them. The rest of me will become nutrients in the earth, like how Sylvia
Plath wanted to be recognized by nature, adopt its immortal and
daring qualities, and be useful in a way she thought she couldn't be
in life, in her poem ""I Amm Vertical."" That the song ""Lying to You"" be
heard. Grace told me about that song. It's awfully fitting. It's beautiful.
My clothes and shoes ( or whatever wearable ones) go directly to
people who could never afford them . My books too. My little silver
crescent-shaped moon necklace that I have worn every day be given
to Grace, if she wanted. The necklace is very special to me. I bought
it so th at I could have a little faith. She is a pragmatic scientist by
nature, but I just think she'll need it. The cash from my college fund
that my parents spent years saving up, be spent on a nice trip. A break
they deserved to have a while ago. Or else be given to a charity. One
that raises awareness about social anxiety, because God, it needs to
be .... My mediocre poem ""I Will Be"" be put on my headstone.",5,
Stage 5: Cognitive Deconstruction,"""But no one
will know about this: '
I'll probably end up getting buri ed with a garish headstone with the
whole ""Beloved Daughter"" et cetera, my heart , lungs and kidney still
in my body, my little necklace thrown away. My books collecting
dust in old boxes. My clothes in the garbage. But in the end, it doesn't
really matter.",5,
Stage 5: Cognitive Deconstruction,"""I strangely
didn't get overwhelmed like I usually would when this happens. Not
sure whether I should be relieved or alarmed: '",5,
Stage 5: Cognitive Deconstruction,"""I taught two people the value of life,""  ""You will lose me.
My god, it will destroy you. What I will do, will be unforgiveable."" ""
I will commit the worst thing you can ever do to
someone who loves you: killing yourself The scary thing is, I'm okay
with that:' ""I am not sad so much as gone,""",5,
Stage 6: Disinhibition,"""I knew I
couldn't go through with it. But I left the house and walked to the
other apartment block that had ten floors. I got the lift to the top and
wanted to just look down and see how high it was .... Suddenly, I
just ... wanted to be dead: '",6,
Stage 6: Disinhibition,"""lingering
despondency"" ""failure at not doing [home ]work sooner,
convinced that I was now a total failure, total lack of motivation, fears
about the future.""",6,
Stage 6: Disinhibition,"""Two
[families '] front doors were open. To let in the top -floor breeze into
their living rooms:'
I got scared. God forbid , they'd see a white girl looking down over
the edge. So I got the lift back down. I wanted to be isolated. To find
a place where no one could find me. I saw the old fire exit staircase.
There was an alcove underneath the narrow stairs, enough to fit two
or three people . It was dusty, but well concealed . I stooped , sat there,
and stared at the wall. At first, I was afraid someone would find me,
but I heard no one. I listened to sad music on my iPod and just sat
there , feeling numb and hopeless at the same time . I was both passive
and scarily pessimistic. I wanted to stay there forever. I sat for an
hour and I cried very quietly in a deadened sort of way.",6,
Stage 6: Disinhibition,"""I need to stop thinking
about death and suicide and all this crap.""
I still want to be dead. But I want to get better. I need this to stop. But
I can't do that to my parents ... it would kill them. How do you go up
to someone and say ""I want to stop wanting to kill myself, but at the
same time I really want to."" And that you want to stop the paranoia.
The sadness. All the shit that goes on. How the fuck can I do this?*",6,Written: Jan 17
Stage 6: Disinhibition,"It chokes the fibers of your trachea and engulfs the acid in your stomach,
releasing the poison into your lungs. For a second, you can't
breathe. You forget how to breathe. You forget all those hopeless
precepts, which are suddenly trapped in books of childish fairy tales.
Reality stares you hard in the face. And remind s you, yet again, that
you can't do this. This time is different. This time, every part of you,
every fragment of your being , knows that it's right. The endless road
to somewhere is blocked. You can't go forward. You can't go back.
You only have two choices.â€¢ You can let the rain and wind pummel onto
you and bury your bone s into the sediment that is under your feet,
forcing you to wait a tormented, hopele ss lifetime in that very spot
until you are so far below the earth, that it sucks the last breath out
of you, and carries it in the wind to dissolve in the sea. Or you can
summon the coward's strength to ask the lightning to throw one last
strike onto you, thus removing your selfish misery and despair for
good .... But as you contemplate this, you begin to feel the earth swallowing
your feet like quick sand. The poison that choked your throat
subsides. The pounding rain and thunder that cracks across the sky
recedes as time moves forward , and you stay rooted to the spot behind
the towering wall. And then it comes. You cradle yourself into
it; although whatever trace oflight that is left is telling you not to, you
reluctantly accept the numbne ss in your hand s like an indi spen sable
gift. It is in this moment that you truly know you have given up.",6,
Stage 6: Disinhibition,"the fear, and do it anyway. I will do it. I have to. I have to go. I will
be that girl who was sick. Sick in the head. I don't think I am. I just
want to go.",6,
Stage 6: Disinhibition,"(""I know I will do it ""If
not the last day of the holidays when Grace comes back  then the same week when I receive my
 grades with the big, red low percentages: ')",6,
Stage 6: Disinhibition,"I am on the ledge. Heart pounding like crazy, my whole unbrok en
body shaking like a leaf. I have never felt fear worse than this. This
is not dread, it's adrenaline. The finality of this moment makes me
slowly breathe in and out. I have no last words, no note . Ju st a prayer.
My first and last prayer to an invisible divinity: that I will die. I will
forget that my bones will shatter , my heart will stop beatin g, my
blood will rupture through a network of capillaries and arteries, my
limbs will crackj bent in opposite directionsj a repugnant , detached
jigsaw puzzle. And I will fall like a book dropp ed from the top of an
empty stairwell that lands with a deafening jolt on a concrete slab,
penetrating the silence. Breathe in, breathe out. Close your eyes.
Clench your fists. Fall. I open my eyes. I'm on my bed. Could have
sworn I had done it.",6,
Stage 6: Disinhibition,"""I guess I'm nothing more than
another suicidal white girl,"" ""Just another first-world brat
succumbing to society's perfect illusions .""",6,
Stage 6: Disinhibition,"""We are each given a life. We're supposed to live it. I
don 't. It's as simple as that."" 
""It comes suddenly and then d!issolves,""",6,
Stage 6: Disinhibition,"I remember somethingJ.K. Rowling wrote in the first Harry Potter
book. That there were more important things than Hermione 's affinity
with books and cleverness. Like friendship. And camaraderie.
Sadly, all that really matters, all that grownups are trying to drill into
young minds, is success. If you are not successful, there is no point
in existence. That's a pretty sad message to teach. But that is what's
happening, whether we want it to or not. It doesn't matter if it's at the
cost of one's wellbeing. Even if you are reduced to something barely
functioning , but you pulled yourself up and are sitting there, telling
your story in an Armani suit, that 's all that matters. That you became
a success story. You didn't wind up as road accident .",6,